action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,1603600,[],CHEMBL880566,Inhibitory activity against human FAP using Lys-Pro-AMC in fluorometric assay,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CNC1CCCCC1)N1CCC[C@H]1B(O)O,,,CHEMBL1141049,Bioorg Med Chem Lett,2005.0,"{'bei': '24.35', 'le': None, 'lle': None, 'sei': None}",CHEMBL371130,,CHEMBL371130,6.19,0,http://www.openphacts.org/units/Nanomolar,401074,=,1,1,=,,IC50,nM,,650.0,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,nM,UO_0000065,,650.0
,,1603603,[],CHEMBL880566,Inhibitory activity against human FAP using Lys-Pro-AMC in fluorometric assay,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CNC1CCCCCCC1)N1CCC[C@H]1B(O)O,,,CHEMBL1141049,Bioorg Med Chem Lett,2005.0,"{'bei': '23.17', 'le': None, 'lle': None, 'sei': None}",CHEMBL382974,,CHEMBL382974,6.54,0,http://www.openphacts.org/units/Nanomolar,401075,=,1,1,=,,IC50,nM,,290.0,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,nM,UO_0000065,,290.0
,,1603606,[],CHEMBL880566,Inhibitory activity against human FAP using Lys-Pro-AMC in fluorometric assay,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CNC1CCCCCCCCC1)N1CCC[C@H]1B(O)O,,,CHEMBL1141049,Bioorg Med Chem Lett,2005.0,"{'bei': '20.23', 'le': None, 'lle': None, 'sei': None}",CHEMBL196267,,CHEMBL196267,6.28,0,http://www.openphacts.org/units/Nanomolar,401076,=,1,1,=,,IC50,nM,,530.0,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,nM,UO_0000065,,530.0
,,1603609,[],CHEMBL880566,Inhibitory activity against human FAP using Lys-Pro-AMC in fluorometric assay,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CNC12CC3CC(CC(C3)C1)C2)N1CCC[C@@H]1B(O)O,,,CHEMBL1141049,Bioorg Med Chem Lett,2005.0,"{'bei': '27.23', 'le': None, 'lle': None, 'sei': None}",CHEMBL373269,,CHEMBL373269,8.34,0,http://www.openphacts.org/units/Nanomolar,401077,=,1,1,=,,IC50,nM,,4.6,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,nM,UO_0000065,,4.6
,,1603612,[],CHEMBL880566,Inhibitory activity against human FAP using Lys-Pro-AMC in fluorometric assay,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCC12CCC(NCC(=O)N3CCC[C@H]3B(O)O)(CC1)CC2,,,CHEMBL1141049,Bioorg Med Chem Lett,2005.0,"{'bei': '18.75', 'le': None, 'lle': None, 'sei': None}",CHEMBL372180,,CHEMBL372180,6.57,0,http://www.openphacts.org/units/Nanomolar,401078,=,1,1,=,,IC50,nM,,270.0,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,nM,UO_0000065,,270.0
,Not Active,1603621,[],CHEMBL880583,Inhibitory activity against human FAP using Lys-Pro-AMC in fluorimetric assay; No inhibition,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)[C@@H](NC1CCCCC1)C(=O)N1CCC[C@H]1B(O)O,,,CHEMBL1141049,Bioorg Med Chem Lett,2005.0,,CHEMBL434184,,CHEMBL434184,,0,http://www.openphacts.org/units/Nanomolar,401080,,1,0,,,IC50,nM,,,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,nM,UO_0000065,,
,,1603624,[],CHEMBL880566,Inhibitory activity against human FAP using Lys-Pro-AMC in fluorometric assay,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)[C@@H](N)C(=O)N1CCC[C@H]1B(O)O,,,CHEMBL1141049,Bioorg Med Chem Lett,2005.0,"{'bei': '37.18', 'le': None, 'lle': None, 'sei': None}",CHEMBL305170,,CHEMBL305170,7.96,0,http://www.openphacts.org/units/Nanomolar,401081,=,1,1,=,,IC50,nM,,11.0,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,nM,UO_0000065,,11.0
,,1603627,[],CHEMBL880566,Inhibitory activity against human FAP using Lys-Pro-AMC in fluorometric assay,B,,,BAO_0000190,BAO_0000357,single protein format,C[C@@H](N)C(=O)N1CCC[C@H]1B(O)O,,,CHEMBL1141049,Bioorg Med Chem Lett,2005.0,"{'bei': '27.46', 'le': None, 'lle': None, 'sei': None}",CHEMBL196120,,CHEMBL196120,5.11,0,http://www.openphacts.org/units/Nanomolar,401082,=,1,1,=,,IC50,nM,,7800.0,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,nM,UO_0000065,,7800.0
,,1603630,[],CHEMBL880566,Inhibitory activity against human FAP using Lys-Pro-AMC in fluorometric assay,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CNC1C2CC3CC(C2)CC1C3)N1CCC[C@@H]1B(O)O,,,CHEMBL1141049,Bioorg Med Chem Lett,2005.0,"{'bei': '22.87', 'le': None, 'lle': None, 'sei': None}",CHEMBL427012,,CHEMBL427012,7.00,0,http://www.openphacts.org/units/Nanomolar,401083,=,1,1,=,,IC50,nM,,99.0,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,nM,UO_0000065,,99.0
,,1603633,[],CHEMBL880566,Inhibitory activity against human FAP using Lys-Pro-AMC in fluorometric assay,B,,,BAO_0000190,BAO_0000357,single protein format,CC12CC3(C)CC(C)(C1)CC(NCC(=O)N1CCC[C@@H]1B(O)O)(C2)C3,,,CHEMBL1141049,Bioorg Med Chem Lett,2005.0,"{'bei': '17.55', 'le': None, 'lle': None, 'sei': None}",CHEMBL381444,,CHEMBL381444,6.11,0,http://www.openphacts.org/units/Nanomolar,401084,=,1,1,=,,IC50,nM,,770.0,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,nM,UO_0000065,,770.0
,,1603636,[],CHEMBL880566,Inhibitory activity against human FAP using Lys-Pro-AMC in fluorometric assay,B,,,BAO_0000190,BAO_0000357,single protein format,CN(CC(=O)N1CCC[C@@H]1B(O)O)C1C2CC3CC(C2)CC1C3,,,CHEMBL1141049,Bioorg Med Chem Lett,2005.0,"{'bei': '13.84', 'le': None, 'lle': None, 'sei': None}",CHEMBL196188,,CHEMBL196188,4.43,0,http://www.openphacts.org/units/Nanomolar,401085,=,1,1,=,,IC50,nM,,37000.0,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,nM,UO_0000065,,37000.0
,,1603639,[],CHEMBL880566,Inhibitory activity against human FAP using Lys-Pro-AMC in fluorometric assay,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CNC1CCCCCC1)N1CCC[C@H]1B(O)O,,,CHEMBL1141049,Bioorg Med Chem Lett,2005.0,"{'bei': '25.45', 'le': None, 'lle': None, 'sei': None}",CHEMBL196933,,CHEMBL196933,6.82,0,http://www.openphacts.org/units/Nanomolar,401086,=,1,1,=,,IC50,nM,,150.0,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,nM,UO_0000065,,150.0
,No inhibition,1603667,[],CHEMBL880582,Inhibitory concentration against human fibroblast activation protein alpha; ni = no inhibition at 33 uM concentration,B,,,BAO_0000190,BAO_0000357,single protein format,CCCC[C@@H](NC(=O)[C@H](C)N)B(O)O,,,CHEMBL1141052,Bioorg Med Chem Lett,2005.0,,CHEMBL195481,,CHEMBL195481,,0,http://www.openphacts.org/units/Nanomolar,401098,,1,0,,,IC50,nM,,,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,nM,UO_0000065,,
,No inhibition,1603672,[],CHEMBL880582,Inhibitory concentration against human fibroblast activation protein alpha; ni = no inhibition at 33 uM concentration,B,,,BAO_0000190,BAO_0000357,single protein format,CCCC[C@@H](NC(=O)[C@@H](N)CC)B(O)O,,,CHEMBL1141052,Bioorg Med Chem Lett,2005.0,,CHEMBL195271,,CHEMBL195271,,0,http://www.openphacts.org/units/Nanomolar,401099,,1,0,,,IC50,nM,,,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,nM,UO_0000065,,
,No inhibition,1603677,[],CHEMBL880582,Inhibitory concentration against human fibroblast activation protein alpha; ni = no inhibition at 33 uM concentration,B,,,BAO_0000190,BAO_0000357,single protein format,CCCC[C@@H](NC(=O)[C@@H](N)CCC)B(O)O,,,CHEMBL1141052,Bioorg Med Chem Lett,2005.0,,CHEMBL196180,,CHEMBL196180,,0,http://www.openphacts.org/units/Nanomolar,401100,,1,0,,,IC50,nM,,,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,nM,UO_0000065,,
,No inhibition,1603688,[],CHEMBL880582,Inhibitory concentration against human fibroblast activation protein alpha; ni = no inhibition at 33 uM concentration,B,,,BAO_0000190,BAO_0000357,single protein format,CCCC[C@@H](NC(=O)[C@@H](N)CCCC)B(O)O,,,CHEMBL1141052,Bioorg Med Chem Lett,2005.0,,CHEMBL194249,,CHEMBL194249,,0,http://www.openphacts.org/units/Nanomolar,401102,,1,0,,,IC50,nM,,,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,nM,UO_0000065,,
,No inhibition,1603693,[],CHEMBL880582,Inhibitory concentration against human fibroblast activation protein alpha; ni = no inhibition at 33 uM concentration,B,,,BAO_0000190,BAO_0000357,single protein format,CCCC[C@@H](NC(=O)[C@@H](N)C(C)C)B(O)O,,,CHEMBL1141052,Bioorg Med Chem Lett,2005.0,,CHEMBL194250,,CHEMBL194250,,0,http://www.openphacts.org/units/Nanomolar,401103,,1,0,,,IC50,nM,,,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,nM,UO_0000065,,
,No inhibition,1603698,[],CHEMBL880582,Inhibitory concentration against human fibroblast activation protein alpha; ni = no inhibition at 33 uM concentration,B,,,BAO_0000190,BAO_0000357,single protein format,CCCC[C@@H](NC(=O)[C@@H](N)CN)B(O)O,,,CHEMBL1141052,Bioorg Med Chem Lett,2005.0,,CHEMBL196461,,CHEMBL196461,,0,http://www.openphacts.org/units/Nanomolar,401104,,1,0,,,IC50,nM,,,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,nM,UO_0000065,,
,No inhibition,1603706,[],CHEMBL880582,Inhibitory concentration against human fibroblast activation protein alpha; ni = no inhibition at 33 uM concentration,B,,,BAO_0000190,BAO_0000357,single protein format,CCCC[C@@H](NC(=O)[C@@H](N)CCN)B(O)O,,,CHEMBL1141052,Bioorg Med Chem Lett,2005.0,,CHEMBL194354,,CHEMBL194354,,0,http://www.openphacts.org/units/Nanomolar,401105,,1,0,,,IC50,nM,,,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,nM,UO_0000065,,
,No inhibition,1603711,[],CHEMBL880582,Inhibitory concentration against human fibroblast activation protein alpha; ni = no inhibition at 33 uM concentration,B,,,BAO_0000190,BAO_0000357,single protein format,CCCC[C@@H](NC(=O)[C@@H](N)CCCN)B(O)O,,,CHEMBL1141052,Bioorg Med Chem Lett,2005.0,,CHEMBL373319,,CHEMBL373319,,0,http://www.openphacts.org/units/Nanomolar,401106,,1,0,,,IC50,nM,,,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,nM,UO_0000065,,
,No inhibition,1603716,[],CHEMBL880582,Inhibitory concentration against human fibroblast activation protein alpha; ni = no inhibition at 33 uM concentration,B,,,BAO_0000190,BAO_0000357,single protein format,CCCC[C@@H](NC(=O)[C@@H](N)CCCCN)B(O)O,,,CHEMBL1141052,Bioorg Med Chem Lett,2005.0,,CHEMBL194517,,CHEMBL194517,,0,http://www.openphacts.org/units/Nanomolar,401107,,1,0,,,IC50,nM,,,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,nM,UO_0000065,,
,No inhibition,1603721,[],CHEMBL880582,Inhibitory concentration against human fibroblast activation protein alpha; ni = no inhibition at 33 uM concentration,B,,,BAO_0000190,BAO_0000357,single protein format,CCCC[C@@H](NC(=O)[C@@H]1CCCN1)B(O)O,,,CHEMBL1141052,Bioorg Med Chem Lett,2005.0,,CHEMBL194625,,CHEMBL194625,,0,http://www.openphacts.org/units/Nanomolar,401108,,1,0,,,IC50,nM,,,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,nM,UO_0000065,,
,,1603726,[],CHEMBL880247,Inhibitory concentration against human fibroblast activation protein alpha,B,,,BAO_0000190,BAO_0000357,single protein format,CCCC[C@H](N)C(=O)N1CCC[C@@H]1B(O)O,,,CHEMBL1141052,Bioorg Med Chem Lett,2005.0,"{'bei': '23.62', 'le': None, 'lle': None, 'sei': None}",CHEMBL194852,,CHEMBL194852,5.39,0,http://www.openphacts.org/units/Nanomolar,401109,=,1,1,=,,IC50,nM,,4100.0,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,nM,UO_0000065,,4100.0
,,1603731,[],CHEMBL880247,Inhibitory concentration against human fibroblast activation protein alpha,B,,,BAO_0000190,BAO_0000357,single protein format,NCC[C@H](N)C(=O)N1CCC[C@@H]1B(O)O,,,CHEMBL1141052,Bioorg Med Chem Lett,2005.0,"{'bei': '24.03', 'le': None, 'lle': None, 'sei': None}",CHEMBL194428,,CHEMBL194428,5.17,0,http://www.openphacts.org/units/Nanomolar,401110,=,1,1,=,,IC50,nM,,6800.0,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,nM,UO_0000065,,6800.0
,,1603736,[],CHEMBL880247,Inhibitory concentration against human fibroblast activation protein alpha,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)[C@H](N)C(=O)N1CCC[C@@H]1B(O)O,,,CHEMBL1141052,Bioorg Med Chem Lett,2005.0,"{'bei': '37.18', 'le': None, 'lle': None, 'sei': None}",CHEMBL195189,,CHEMBL195189,7.96,0,http://www.openphacts.org/units/Nanomolar,401111,=,1,1,=,,IC50,nM,,11.0,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,nM,UO_0000065,,11.0
,No inhibition,1603750,[],CHEMBL880582,Inhibitory concentration against human fibroblast activation protein alpha; ni = no inhibition at 33 uM concentration,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCNC(=O)[C@@H](N)CCCC,,,CHEMBL1141052,Bioorg Med Chem Lett,2005.0,,CHEMBL372841,,CHEMBL372841,,0,http://www.openphacts.org/units/Nanomolar,401115,,1,0,,,IC50,nM,,,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,nM,UO_0000065,,
,No inhibition,1603755,[],CHEMBL880582,Inhibitory concentration against human fibroblast activation protein alpha; ni = no inhibition at 33 uM concentration,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCNC(=O)[C@@H](N)CCN,,,CHEMBL1141052,Bioorg Med Chem Lett,2005.0,,CHEMBL194496,,CHEMBL194496,,0,http://www.openphacts.org/units/Nanomolar,401116,,1,0,,,IC50,nM,,,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,nM,UO_0000065,,
,,1603760,[],CHEMBL880247,Inhibitory concentration against human fibroblast activation protein alpha,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)[C@H](N)C(=O)N[C@@H](C)B(O)O,,,CHEMBL1141052,Bioorg Med Chem Lett,2005.0,"{'bei': '24.77', 'le': None, 'lle': None, 'sei': None}",CHEMBL365322,,CHEMBL365322,4.66,0,http://www.openphacts.org/units/Nanomolar,401117,=,1,1,=,,IC50,nM,,22000.0,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,nM,UO_0000065,,22000.0
,,1615071,[],CHEMBL880566,Inhibitory activity against human FAP using Lys-Pro-AMC in fluorometric assay,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CNC1CC2CCCC1C2)N1CCC[C@H]1C(O)O,,,CHEMBL1141049,Bioorg Med Chem Lett,2005.0,"{'bei': '23.89', 'le': '0.46', 'lle': '6.28', 'sei': '9.26'}",CHEMBL362922,,CHEMBL362922,6.75,0,http://www.openphacts.org/units/Nanomolar,404325,=,1,1,=,,IC50,nM,,180.0,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,nM,UO_0000065,,180.0
,,1718020,[],CHEMBL854262,Inhibition of FAP,B,,,BAO_0000190,BAO_0000357,single protein format,N#C[C@@H]1CC[C@H](C#N)N1C(=O)CNC12CC3CC(CC1C3)C2,,,CHEMBL1147795,J Med Chem,2006.0,,CHEMBL383488,,CHEMBL383488,,0,http://www.openphacts.org/units/Nanomolar,479509,>,1,1,>,,IC50,nM,,30000.0,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,uM,UO_0000065,,30.0
,,1718050,[],CHEMBL854262,Inhibition of FAP,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCOCC1(NCC(=O)N2[C@H](C#N)CC[C@@H]2C#N)CCCC1,,,CHEMBL1147795,J Med Chem,2006.0,,CHEMBL209994,,CHEMBL209994,,0,http://www.openphacts.org/units/Nanomolar,479532,>,1,1,>,,IC50,nM,,30000.0,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,uM,UO_0000065,,30.0
,,1718051,[],CHEMBL854262,Inhibition of FAP,B,,,BAO_0000190,BAO_0000357,single protein format,COCC1(NCC(=O)N2[C@H](C#N)CC[C@@H]2C#N)CCCC1,,,CHEMBL1147795,J Med Chem,2006.0,,CHEMBL379086,,CHEMBL379086,,0,http://www.openphacts.org/units/Nanomolar,479531,>,1,1,>,,IC50,nM,,30000.0,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,uM,UO_0000065,,30.0
,,1718052,[],CHEMBL854262,Inhibition of FAP,B,,,BAO_0000190,BAO_0000357,single protein format,CCOCC1(NCC(=O)N2[C@H](C#N)CC[C@@H]2C#N)CCCC1,,,CHEMBL1147795,J Med Chem,2006.0,,CHEMBL209191,,CHEMBL209191,,0,http://www.openphacts.org/units/Nanomolar,479530,>,1,1,>,,IC50,nM,,30000.0,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,uM,UO_0000065,,30.0
,,1718053,[],CHEMBL854262,Inhibition of FAP,B,,,BAO_0000190,BAO_0000357,single protein format,N#C[C@@H]1CC[C@H](C#N)N1C(=O)CNC12CC3CC(CC(C3)C1)C2,,,CHEMBL1147795,J Med Chem,2006.0,,CHEMBL207980,,CHEMBL207980,,0,http://www.openphacts.org/units/Nanomolar,479512,>,1,1,>,,IC50,nM,,30000.0,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,uM,UO_0000065,,30.0
,,1718054,[],CHEMBL854262,Inhibition of FAP,B,,,BAO_0000190,BAO_0000357,single protein format,N#C[C@@H]1CC[C@H](C#N)N1C(=O)CNC1(CO)CCCC1,,,CHEMBL1147795,J Med Chem,2006.0,,CHEMBL379522,,CHEMBL379522,,0,http://www.openphacts.org/units/Nanomolar,479511,>,1,1,>,,IC50,nM,,30000.0,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,uM,UO_0000065,,30.0
,,1718055,[],CHEMBL854262,Inhibition of FAP,B,,,BAO_0000190,BAO_0000357,single protein format,N#C[C@@H]1CC[C@H](C#N)N1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,,,CHEMBL1147795,J Med Chem,2006.0,,CHEMBL207912,,CHEMBL207912,,0,http://www.openphacts.org/units/Nanomolar,479510,>,1,1,>,,IC50,nM,,30000.0,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,uM,UO_0000065,,30.0
,,1722980,[],CHEMBL866331,Inhibition of FAP,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C)C(=O)[C@@H](c1ccc(-c2ccn3nccc3n2)cc1)[C@H](N)C(=O)N1CCC(F)(F)C1.O=C(O)C(F)(F)F,,,CHEMBL1148642,J Med Chem,2006.0,,CHEMBL208957,,CHEMBL1182066,,0,http://www.openphacts.org/units/Nanomolar,493530,>,1,1,>,,IC50,nM,,40000.0,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,nM,UO_0000065,,40000.0
