Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Smiles,IC50,pChEMBL Value
CHEMBL2207069,,None,603.89,2,5.31,CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CNCCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,91,7.04
CHEMBL2206994,,None,672.99,2,5.33,CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(C6CN(C)C6)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,100,7
CHEMBL4087140,,None,343.81,0,3.96,COc1ccc(CCNc2nc(Cl)nc3ccccc23)cc1OC,8200,5.09
CHEMBL4079415,,None,276.3,0,4.18,[N-]=[N+]=Nc1nc(NCc2ccccc2)c2ccccc2n1,2600,5.58
CHEMBL4086248,,None,364.45,0,3.88,COc1ccc(CCNc2nc(NC3CC3)nc3ccccc23)cc1OC,4900,5.31
CHEMBL165,RESVERATROL,3,228.25,0,2.97,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,1100,5.96
CHEMBL3403825,,None,731.07,2,5.6,CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(CC6CN(CCOC)C6)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,86,7.07
CHEMBL2381403,,None,378.43,0,2.81,COc1ccc2cc(C(=O)CN3CCN(c4ccccc4)CC3)c(=O)oc2c1,6500,5.19
CHEMBL200116,,None,622.85,1,4.94,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](CC(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc2ccccc2)C(C)C)c1,6700,
CHEMBL396917,,None,451.36,1,5.97,COc1cc(/C=C/c2cc(Br)cc(/C=C/c3ccc(N)c(OC)c3)c2)ccc1N,1800,5.75
CHEMBL247530,,None,409.87,1,5.5,COc1cc(/C=C/c2cc(Cl)cc(/C=C/c3ccc(O)c(OC)c3)n2)ccc1O,1100,5.96
CHEMBL247927,,None,401.51,0,4.97,CN(C)c1ccc(/C=C/c2cccc(/C=C/c3ccc(N(C)C)c(O)c3)n2)cc1O,900,6.05
CHEMBL427877,,None,401.51,0,4.97,CN(C)c1cc(/C=C/c2cccc(/C=C/c3ccc(O)c(N(C)C)c3)n2)ccc1O,2300,5.64
CHEMBL255493,SEQUOIAFLAVONE,None,552.49,2,5.44,COc1cc(O)c2c(=O)cc(-c3ccc(O)c(-c4c(O)cc(O)c5c(=O)cc(-c6ccc(O)cc6)oc45)c3)oc2c1,4900,5.31
CHEMBL3957316,,None,589.04,1,3.78,Cc1nc(CS(=O)(=O)CC[C@@H]2OCC[C@@]3(S(=O)(=O)c4ccc(Cl)cc4)c4c(F)ccc(F)c4OCC23)no1,5.8,8.24
CHEMBL3935559,,None,571.02,1,3.74,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)c1ccnnc1,10.2,7.99
CHEMBL231448,,None,508.04,1,2.98,O=C(OC[C@H]1CC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1)N1CCN(CCO)CC1,540,6.27
CHEMBL4444093,,None,434.46,0,0.42,O=C(CN1CCN(CC(=O)Nc2n[nH]c3ncccc23)CC1)Nc1n[nH]c2ncccc12,17890,4.75
CHEMBL4174114,,None,380.21,0,4.81,COc1ccc(Nc2nc(Cl)nc(Nc3ccc(F)c(Cl)c3)n2)cc1,23800,4.62
CHEMBL4126558,,None,327.34,0,1.92,O=C(/C=C/c1ccccc1)N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,22700,4.64
CHEMBL1880288,,None,188.23,0,2.11,CC1=NN(c2ccccc2C)C(=O)C1,50000,
CHEMBL3741408,,None,206.22,0,2.25,CC1=NN(c2ccc(C)c(F)c2)C(=O)C1,,
CHEMBL3740581,,None,243.31,0,2.4,CC1=NN(c2cccc(N3CCCC3)c2)C(=O)C1,,
CHEMBL3741643,,None,239.28,0,2.59,CC1=NN(c2ccc(-n3cccc3)cc2)C(=O)C1,26000,4.58
CHEMBL3741268,,None,280.33,0,3.47,COc1ccc(-c2ccc(N3N=C(C)CC3=O)cc2)cc1,3400,5.47
CHEMBL3741747,,None,365.44,1,5.41,CC1=NN(c2ccc(-n3c(-c4ccccc4)cc4ccccc43)cc2)C(=O)C1,19600,4.71
CHEMBL290916,EDARAVONE,4,174.2,0,1.8,CC1=NN(c2ccccc2)C(=O)C1,50000,
CHEMBL3739456,,None,224.26,0,2.95,CC1=NN(c2ccc3ccccc3c2)C(=O)C1,50000,
CHEMBL3740667,,None,175.19,0,1.19,CC1=NN(c2cccnc2)C(=O)C1,50000,
CHEMBL3741643,,None,239.28,0,2.59,CC1=NN(c2ccc(-n3cccc3)cc2)C(=O)C1,4000,5.4
CHEMBL3942680,,None,368.39,0,3.37,COc1cc(O)ccc1/C=C/C(=O)CC(=O)/C=C/c1ccc(O)cc1OC,4600,5.34
CHEMBL3672439,,None,368.39,0,3.37,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2c(O)cccc2OC)ccc1O,1600,5.8
CHEMBL3814123,,None,264.33,0,2.87,Nc1nc(NCCc2ccccc2)c2ccccc2n1,25000,
CHEMBL3814748,,None,268.3,0,2.96,Nc1nc(NCc2cccc(F)c2)c2ccccc2n1,25000,
CHEMBL3815078,,None,250.31,0,2.82,Nc1nc(NCc2ccccc2)c2ccccc2n1,25000,
CHEMBL3815140,,None,202.26,0,2.03,CC(C)Nc1nc(N)c2ccccc2n1,25000,
CHEMBL3815150,,None,318.3,0,3.84,Nc1nc(NCc2cccc(C(F)(F)F)c2)nc2ccccc12,12500,4.9
CHEMBL429694,CONGO RED,-1,696.68,2,8.15,Nc1c(/N=N/c2ccc(-c3ccc(/N=N/c4cc(S(=O)(=O)[O-])c5ccccc5c4N)cc3)cc2)cc(S(=O)(=O)[O-])c2ccccc12.[Na+].[Na+],1300,5.89
CHEMBL3813859,,None,264.33,0,3.13,Cc1ccc(CNc2nc(N)c3ccccc3n2)cc1,13100,4.88
CHEMBL3813811,,None,284.75,0,3.48,Nc1nc(NCc2ccc(Cl)cc2)c2ccccc2n1,620,6.21
CHEMBL197478,,None,398.42,1,1.86,O=C(/C=C/c1ccc(O)c(O)c1)NCCCNC(=O)/C=C/c1ccc(O)c(O)c1,4900,5.31
CHEMBL3330751,,None,451.64,1,7.89,COc1ccc(-c2cc3c(s2)c2sc(-c4ccc(C=O)s4)cc2n3C(C)(C)C)cc1,380,
CHEMBL3330750,,None,348.45,1,5.58,COc1ccc(-c2ccc(-c3ccc(C=C(C#N)C#N)s3)s2)cc1,1000,
CHEMBL3087681,,None,788.98,2,8.66,CC(C(=O)NCCCCCCNC1=CC(=O)C(NCCCCCCNC(=O)C(C)c2ccc(-c3ccccc3)c(F)c2)=CC1=O)c1ccc(-c2ccccc2)c(F)c1,,
CHEMBL3087676,,None,922.79,3,7.64,O=C(Cc1ccccc1Nc1c(Cl)cccc1Cl)NCCCNCCCNC1=CC(=O)C(NCCCNCCCNC(=O)Cc2ccccc2Nc2c(Cl)cccc2Cl)=CC1=O,3110,5.51
CHEMBL4070983,,None,483.62,1,5.34,COc1ccc(CNc2nc(NC3CCN(Cc4ccccc4)CC3)nc3ccccc23)cc1OC,2300,5.64
CHEMBL117804,,None,249.32,0,3.28,c1ccc(CCNc2ncnc3ccccc23)cc1,11900,4.92
CHEMBL3814610,,None,264.33,0,2.87,Nc1nc(NCCc2ccccc2)nc2ccccc12,14900,4.83
CHEMBL4091385,,None,304.4,0,3.86,c1ccc(CCNc2nc(NC3CC3)nc3ccccc23)cc1,790,6.1
CHEMBL1088617,,None,272.33,0,2.52,CN(C)c1ncc(-c2nc3ccc(O)cc3s2)cn1,41,7.39
CHEMBL1084945,,None,268.27,0,2.6,COc1ccc2cc(-c3ccc(C(N)=O)nc3)oc2c1,60,7.22
CHEMBL3814125,,None,329.2,0,3.59,Nc1nc(NCc2cccc(Br)c2)nc2ccccc12,2700,5.57
CHEMBL3815002,,None,256.35,0,3.2,Nc1nc(NCC2CCCCC2)c2ccccc2n1,25000,
CHEMBL3814125,,None,329.2,0,3.59,Nc1nc(NCc2cccc(Br)c2)nc2ccccc12,1500,5.82
CHEMBL3814134,,None,250.31,0,2.82,Nc1nc(NCc2ccccc2)nc2ccccc12,2200,5.66
CHEMBL3798813,,None,432.48,0,4.02,COc1ccc(/C=C/C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc1O,46.12,7.34
CHEMBL3799641,,None,413.48,0,4.32,O=C(COC(=O)Cc1c[nH]c2ccccc12)Nc1c2c(nc3ccccc13)CCCC2,38.96,7.41
CHEMBL95,TACRINE,4,198.27,0,2.7,Nc1c2c(nc3ccccc13)CCCC2,12.21,7.91
CHEMBL3742091,,None,251.29,0,2.86,CC1=NN(c2ccc(-c3cccnc3)cc2)C(=O)C1,14500,4.84
CHEMBL3740157,,None,188.23,0,2.11,CC1=NN(c2ccc(C)cc2)C(=O)C1,50000,
CHEMBL3741747,,None,365.44,1,5.41,CC1=NN(c2ccc(-n3c(-c4ccccc4)cc4ccccc43)cc2)C(=O)C1,3500,5.46
CHEMBL196945,,None,325.17,0,4.92,O=C(O)C1(c2ccc(-c3ccc(Cl)c(Cl)c3)c(F)c2)CC1,41000,4.39
CHEMBL193634,,None,340.39,0,4.5,O=C(O)C1(c2ccc(-c3ccc(C4CCOCC4)cc3)c(F)c2)CC1,,
CHEMBL264006,,None,326.41,1,5.73,CC(C(=O)O)c1ccc(-c2ccc(C3CCCCC3)cc2)c(F)c1,21000,4.68
CHEMBL194274,,None,300.35,0,4.9,CC(C(=O)O)c1ccc(-c2csc3ccccc23)c(F)c1,83000,4.08
CHEMBL4069995,,None,249.28,0,3.18,c1cc2ncc(Nc3ccc4cc[nH]c4n3)cc2[nH]1,23800,4.62
CHEMBL4084675,,None,365.48,0,4.74,COc1ccc(Nc2ccc3c(C4CCN(C)CC4)c[nH]c3c2)cc1OC,25000,4.6
CHEMBL429694,CONGO RED,-1,696.68,2,8.15,Nc1c(/N=N/c2ccc(-c3ccc(/N=N/c4cc(S(=O)(=O)[O-])c5ccccc5c4N)cc3)cc2)cc(S(=O)(=O)[O-])c2ccccc12.[Na+].[Na+],1300,5.89
CHEMBL3741909,,None,250.3,0,3.47,CC1=NN(c2ccc(-c3ccccc3)cc2)C(=O)C1,5600,5.25
CHEMBL4286108,,None,258.27,0,2.91,CCOc1ccc(/C=C/c2cc(=O)c(O)co2)cc1,,
CHEMBL4286002,,None,244.25,0,2.52,COc1ccccc1/C=C/c1cc(=O)c(O)co1,7930,5.1
CHEMBL4294830,,None,246.22,0,1.93,O=c1cc(/C=C/c2cc(O)cc(O)c2)occ1O,17950,4.75
CHEMBL382746,,None,352.29,0,4.75,CC(c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1)c1noc(O)n1,,
CHEMBL4169514,,None,255.27,0,2.69,COc1cc(/C=C/C(=O)c2cccnc2)ccc1O,,
CHEMBL4177374,,None,269.3,0,3.08,CCOc1cc(/C=C/C(=O)c2cccnc2)ccc1O,,
CHEMBL4174015,,None,225.25,0,2.68,O=C(/C=C/c1ccc(O)cc1)c1cccnc1,,
CHEMBL1517429,,None,225.25,0,2.68,O=C(/C=C/c1cccc(O)c1)c1cccnc1,,
CHEMBL4225563,,None,548.82,1,4.41,c1ccc(Nc2cc(CNCCN3CCCCC3)cc(CNCCN3CCCCC3)c2)c(CN2CCOCC2)c1,6600,5.18
CHEMBL274414,,None,536.72,2,5,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccc(OC)cc3)c2)C1=O,160,6.8
CHEMBL425031,,None,527.68,2,5.26,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](CC(C)C)[C@@H](O)C[C@@H](C)C(=O)Nc2ccc(F)cc2)c1,20000,
CHEMBL200077,,None,560.71,2,5.42,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@@H](N)C[C@@H](C)C(=O)Nc2ccc(F)cc2)c1,180,6.75
CHEMBL395313,,None,506.07,1,4.44,CN1CCCC1CCNC(=O)OC[C@H]1CC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1,600,6.22
CHEMBL381336,,None,575.79,2,6.61,CCC[C@H](C(=O)NC1CCCC1)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Oc3ccccc3)c2)C1=O,6000,5.22
CHEMBL424684,,None,574.69,2,6.01,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccc(C(F)(F)F)cc3)c2)C1=O,30,7.52
CHEMBL2425960,,None,335.36,0,2.16,O=C(/C=C/c1ccc2c(=O)n(CCc3ccccc3)cnc2c1)NO,50000,
CHEMBL2425957,,None,335.36,0,2.27,Cc1nc2cc(/C=C/C(=O)NO)ccc2c(=O)n1Cc1ccccc1,50000,
CHEMBL3953399,,None,448.53,1,6.21,COc1cc(OCc2ccccn2)ccc1/C=C/c1cc(/C=C/c2ccc3cc[nH]c3c2)[nH]n1,1200,5.92
CHEMBL4294375,,None,257.29,0,2.58,CN(C)c1ccc(/C=C/c2cc(=O)c(O)co2)cc1,5920,5.23
CHEMBL2402074,,None,418.54,1,6.01,CCCNc1ccc(O)c(CNc2ccc(/C=C/c3cc(OC)cc(OC)c3)cc2)c1,13070,4.88
CHEMBL2402072,,None,334.42,0,4.81,COc1cc(/C=C/c2ccc(NCc3cc[nH]c3)cc2)cc(OC)c1,,
CHEMBL2402066,,None,406.44,1,5.1,COc1cc(/C=C/c2ccc(NCc3cc([N+](=O)[O-])ccc3O)cc2)cc(OC)c1,,
CHEMBL3594078,,None,284.27,0,2.57,Oc1ccc(-c2cc(-c3c(O)cccc3O)[nH]n2)cc1O,1300,5.89
CHEMBL3922564,,None,618.78,2,7.12,CN(C)c1ccc(-c2cc(=O)c3ccc(OCC(=O)NCCCCCCNc4c5c(nc6ccccc46)CCCC5)cc3o2)cc1,9470,5.02
CHEMBL140,,None,368.39,0,3.37,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,18250,4.74
CHEMBL3403818,,None,715.03,2,5.1,CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(C6CN(C7COC7)C6)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,130,6.89
CHEMBL193900,,None,312.17,0,4.39,CC(C(N)=O)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,64000,4.19
CHEMBL190083,TARENFLURBIL,3,244.26,0,3.68,C[C@@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,280000,
CHEMBL372846,,None,366.36,1,5.12,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(O)cc4)c(F)c3)c(F)c2)CC1,111000,
CHEMBL197140,,None,410.53,1,6.59,CC1(C)CC(Oc2ccc(-c3ccc(C4(C(=O)O)CC4)cc3F)cc2)CC(C)(C)C1,,
CHEMBL382721,,None,356.39,0,4.17,O=C(O)C1(c2ccc(-c3ccc(OC4CCOCC4)cc3)c(F)c2)CC1,81000,4.09
CHEMBL2206995,,None,673.98,2,6.2,CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(C(=O)C(C)C)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,170,6.77
CHEMBL2207043,,None,631.94,2,6.04,CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(CC)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,210,6.68
CHEMBL3403817,,None,713.06,2,6.26,CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(C6CN(C7CCC7)C6)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,120,6.92
CHEMBL3326698,,None,455.56,1,5.23,O=C(NCCCCCNc1c2c(nc3ccccc13)CCCC2)c1cc2ccccc2oc1=O,100000,
CHEMBL549959,DEMETHOXYVIRIDIN,None,322.32,0,2.21,C[C@@]12c3ccc4c(c3C(=O)c3occ(c31)C(=O)C[C@H]2O)CCC4=O,13400,4.87
CHEMBL436483,,None,422.42,1,6.11,O=C(O)C1(c2ccc(-c3ccc(OC4CCC(C(F)(F)F)CC4)cc3)c(F)c2)CC1,17700,4.75
CHEMBL1744460,,None,283.39,0,3.13,[3H]C([3H])([3H])N(c1ccc(-c2nc3ccc(O)cc3s2)cn1)C([3H])([3H])[3H],19,7.72
CHEMBL1082545,,None,285.37,0,3.43,COc1ccc2nc(-c3ccc(N(C)C)nc3)sc2c1,81,7.09
CHEMBL1082546,,None,257.32,0,3.11,CNc1ccc(-c2nc3cc(O)ccc3s2)cn1,74,7.13
CHEMBL1744463,,None,267.33,0,2.66,[3H]C([3H])([3H])N(c1ccc(-c2nc3ccc(O)cc3o2)cn1)C([3H])([3H])[3H],85,7.07
CHEMBL1084943,,None,240.26,0,3.24,CNc1ccc(-c2cc3ccc(O)cc3o2)cn1,45,7.35
CHEMBL3797706,,None,434.49,0,3.86,COc1ccc(CC(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc1OC,22.54,7.65
CHEMBL3798989,,None,420.47,0,3.93,COc1cc(OC)cc(C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)c1,55.86,7.25
CHEMBL3818053,,None,396.45,0,3.27,O=C1C(=Cc2ccc(N3CCN(c4ncccn4)CC3)cc2)C(=O)c2ccccc21,10110,5
CHEMBL3814397,,None,256.35,0,3.2,Nc1nc(NCC2CCCCC2)nc2ccccc12,25000,
CHEMBL3814001,,None,329.2,0,3.59,Nc1nc(NCc2ccc(Br)cc2)nc2ccccc12,1700,5.77
CHEMBL3814909,,None,280.33,0,2.83,COc1ccc(CNc2nc(N)c3ccccc3n2)cc1,25000,
CHEMBL3813859,,None,264.33,0,3.13,Cc1ccc(CNc2nc(N)c3ccccc3n2)cc1,22500,4.65
CHEMBL3814660,,None,318.3,0,3.84,Nc1nc(NCc2ccc(C(F)(F)F)cc2)c2ccccc2n1,25000,
CHEMBL3814363,,None,264.33,0,3.13,Cc1cccc(CNc2nc(N)nc3ccccc23)c1,25000,
CHEMBL3814610,,None,264.33,0,2.87,Nc1nc(NCCc2ccccc2)nc2ccccc12,14900,4.83
CHEMBL3813837,,None,268.3,0,2.96,Nc1nc(NCc2cccc(F)c2)nc2ccccc12,11300,4.95
CHEMBL3814191,,None,284.75,0,3.48,Nc1nc(NCc2cccc(Cl)c2)nc2ccccc12,5900,5.23
CHEMBL3814909,,None,280.33,0,2.83,COc1ccc(CNc2nc(N)c3ccccc3n2)cc1,6800,5.17
CHEMBL3815002,,None,256.35,0,3.2,Nc1nc(NCC2CCCCC2)c2ccccc2n1,13600,4.87
CHEMBL3814748,,None,268.3,0,2.96,Nc1nc(NCc2cccc(F)c2)c2ccccc2n1,2800,5.55
CHEMBL3814270,,None,329.2,0,3.59,Nc1nc(NCc2cccc(Br)c2)c2ccccc2n1,580,6.24
CHEMBL3814429,,None,280.33,0,2.83,COc1cccc(CNc2nc(N)nc3ccccc23)c1,20600,4.69
CHEMBL3813971,,None,264.33,0,3.13,Cc1ccc(CNc2nc(N)nc3ccccc23)cc1,3900,5.41
CHEMBL3815078,,None,250.31,0,2.82,Nc1nc(NCc2ccccc2)c2ccccc2n1,4800,5.32
CHEMBL3815004,,None,348.45,0,3.22,CNc1cccc(CCNc2cccc(NCCc3ccccn3)n2)n1,35000,4.46
CHEMBL3739861,,None,341.41,1,5.27,CC1=NN(c2ccc(N(c3ccccc3)c3ccccc3)cc2)C(=O)C1,4000,5.4
CHEMBL3739947,,None,222.22,0,1.95,COc1cc(F)cc(N2N=C(C)CC2=O)c1,,
CHEMBL3742091,,None,251.29,0,2.86,CC1=NN(c2ccc(-c3cccnc3)cc2)C(=O)C1,3900,5.41
CHEMBL2436700,,None,616.81,2,7.17,O=c1cc(-c2ccccc2)oc2cc(OCCCCN3CCN(CCCNc4c5c(nc6ccccc46)CCCC5)CC3)ccc12,17300,4.76
CHEMBL2436697,,None,630.83,2,7.56,O=c1cc(-c2ccccc2)oc2cc(OCCCCCCN3CCN(CCNc4c5c(nc6ccccc46)CCCC5)CC3)ccc12,14200,4.85
CHEMBL2425955,,None,321.34,0,2.21,Cc1nc2cc(/C=C/C(=O)NO)ccc2c(=O)n1-c1ccccc1,50000,
CHEMBL2425959,,None,388.43,0,2.95,Cc1nc2cc(/C=C/C(=O)NO)ccc2c(=O)n1CCc1c[nH]c2ccccc12,7400,5.13
CHEMBL2425957,,None,335.36,0,2.27,Cc1nc2cc(/C=C/C(=O)NO)ccc2c(=O)n1Cc1ccccc1,18100,4.74
CHEMBL2381385,,None,303.31,0,1.32,COc1ccc2cc(C(=O)CN3CCOCC3)c(=O)oc2c1,5000,5.3
CHEMBL2381402,,None,377.44,0,3.86,COc1ccc2cc(C(=O)CN3CCC(c4ccccc4)CC3)c(=O)oc2c1,14000,4.85
CHEMBL238271,,None,499.07,0,4.57,CCCC1(O)CCN(C(=O)OC2([C@H]3CCC[C@@H](CC)N3S(=O)(=O)c3ccc(Cl)cc3)CC2)C1,28,7.55
CHEMBL429448,,None,539.69,1,4.91,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCC(N4CCCCC4)CC3)CC2)N1S(=O)(=O)c1cc(F)cc(F)c1,144,6.84
CHEMBL392059,,None,514.09,1,3.33,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCN(CCO)C[C@@H]3C)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,14,7.85
CHEMBL236195,,None,510.1,1,4.5,O=C(O[C@@H]1CCC2CCCC1N2S(=O)(=O)c1ccc(Cl)cc1)N1CCC(N2CCCCC2)CC1,2425,5.62
CHEMBL129795,ISOLIQUIRITIGENIN,None,256.26,0,2.7,O=C(/C=C/c1ccc(O)cc1)c1ccc(O)cc1O,19700,4.71
CHEMBL2408095,,None,469.33,1,5.65,COc1ccc(C(=O)/C=C/c2cc(Br)c(OCc3ccccc3)c(OC)c2)c(O)c1,12500,4.9
CHEMBL2408265,,None,434.4,0,4.16,COc1ccc(C(=O)/C=C/c2ccc(C(=O)Nc3cc([N+](=O)[O-])ccc3O)cc2)c(O)c1,13300,4.88
CHEMBL4077009,,None,245.25,0,2.4,Cn1cc(O)c(=O)cc1/C=C/c1cccc(F)c1,19440,4.71
CHEMBL3622510,,None,243.22,0,2.43,O=C(O)c1c(O)cc2c([nH]c3ccccc32)c1O,15000,4.82
CHEMBL204443,,None,637.87,2,7.47,CCC[C@H](C(=O)NC/C=C/Cc1ccccc1)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Oc3ccccc3)c2)C1=O,3000,5.52
CHEMBL382880,,None,541.14,2,5.64,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccccc3Cl)c2)C1=O,29,7.54
CHEMBL164,MYRICETIN,None,318.24,1,1.69,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,14800,4.83
